id,doi,kind,tier,page,note,title,authors,journal,year,url,preprint_doi,preprint_url,preprint_year,preprint_server,licence,pdf_link,pdf_url,orcid_type,orcid_source,put_code
10_1038_s41591_025_04018_6,10.1038/s41591-025-04018-6,article,page,policy/vaccines.qmd,,A One Health trial design to accelerate Lassa fever vaccines,"Simons D, Watson-Jones D, Manno D, Friant S",Nature Medicine,2026,https://doi.org/10.1038/s41591-025-04018-6,,,,,https://www.springernature.com/gp/researchers/text-and-data-mining,https://www.nature.com/articles/s41591-025-04018-6.pdf,https://www.nature.com/articles/s41591-025-04018-6.pdf,journal-article,Crossref,201229890
10_1371_journal_pesy_0000023,10.1371/journal.pesy.0000023,article,page,policy/surveillance.qmd,,A protocol for biodiversity-informed wildlife disease surveillance,"Catchen MD, Banville F, Boutin AC, Brookson CB, Carlson CJ, Dansereau G, Gibb R, Houle M, Kaza B, Robertson H, Simons D, Seifert SN, Poisot T",PLOS Ecosystems,2026,https://doi.org/10.1371/journal.pesy.0000023,10.32942/x21d36,https://doi.org/10.32942/x21d36,2025,,http://creativecommons.org/licenses/by/4.0/,,,journal-article,David Simons,227269878
10_5281_zenodo_21978982,10.5281/zenodo.21978982,software,card,,,ArHa: Arenavirus and Hantavirus sampling in small mammals.,"Simons D, Seifert SN",Zenodo,2026,https://doi.org/10.5281/zenodo.21978982,,,,,https://creativecommons.org/publicdomain/zero/1.0/legalcode,,,software,DataCite,224045745
10_5281_zenodo_21978983,10.5281/zenodo.21978983,software,line,,,ArHa: Arenavirus and Hantavirus sampling in small mammals.,"Simons D, Seifert SN",Zenodo,2026,https://doi.org/10.5281/zenodo.21978983,,,,,https://creativecommons.org/publicdomain/zero/1.0/legalcode,,,software,DataCite,224045745
10_4269_ajtmh_25_0120,10.4269/ajtmh.25-0120,article,page,lassa/sierra_leone.qmd,,Contact Networks of Small Mammals Highlight Potential Transmission Foci of Mammarenavirus lassaense,"Simons D, Goyal R, Bangura U, Gibb R, Rushton B, Sondufu D, Lamin J, Koninga J, Foday M, Dawson M, Lahai J, Ansumana R, Fichet-Calvet E, Kock R, Watson-Jones D, Jones KE",The American Journal of Tropical Medicine and Hygiene,2026,https://doi.org/10.4269/ajtmh.25-0120,10.1101/2025.02.25.639449,https://doi.org/10.1101/2025.02.25.639449,2025,bioRxiv,https://creativecommons.org/licenses/by/4.0/,,,journal-article,Europe PubMed Central,227258632
10_1007_s10393_026_01810_9,10.1007/s10393-026-01810-9,article,line,,,Local Knowledge of Land Use Effects on Human-Rodent Interfaces in Lassa-Endemic Nigeria,"Harden C, Eziechina S, Ifebueme NM, Simons D, Moses L, Redding DW, Friant S",EcoHealth,2026,https://doi.org/10.1007/s10393-026-01810-9,,,,,https://creativecommons.org/licenses/by/4.0,https://link.springer.com/content/pdf/10.1007/s10393-026-01810-9.pdf,,journal-article,Europe PubMed Central,227258630
10_1371_journal_pntd_0014379,10.1371/journal.pntd.0014379,article,page,lassa/SCAPES.qmd,,Local heterogeneity in Lassa fever serology in rural Nigeria: Implications for vaccine trial site selection,"Simons D, Harden C, Imirzian N, Thompson KET, Ifebueme NM, Eziechina S, Ignatius H, Marcus D, Aderibigbe F, Koninga JT, Meremikwu M, Moses L, Redding DW, Friant S",PLOS Neglected Tropical Diseases,2026,https://doi.org/10.1371/journal.pntd.0014379,10.64898/2025.12.17.25342407,https://doi.org/10.64898/2025.12.17.25342407,2025,medRxiv,http://creativecommons.org/licenses/by/4.0/,,,journal-article,Crossref,215385803
10_64898_2026_01_26_26344575,10.64898/2026.01.26.26344575,preprint,page,open_science/tools.qmd,,Map Liberator: An open-source tool for recovering spatial epidemiological data from static situation reports,Simons D,medRxiv,2026,https://doi.org/10.64898/2026.01.26.26344575,,,,,http://creativecommons.org/licenses/by/4.0/,,,preprint,Crossref,203775520
10_64898_2026_06_10_731004,10.64898/2026.06.10.731004,preprint,page,arha.qmd,,Molecular and ecological determinants of effective reassortment in orthohantaviruses,"Rivero R, Simons D, Damodaran L, Karegi I, Gurev S, Becker DJ, Warren DL, Mueller NF, Rasmussen DA, Seifert SN",bioRxiv,2026,https://doi.org/10.64898/2026.06.10.731004,,,,,http://creativecommons.org/licenses/by/4.0/,,,preprint,Crossref,217574568
10_1371_journal_pone_0349028,10.1371/journal.pone.0349028,article,line,,,Optimising supervised machine learning algorithms predicting cigarette cravings and lapses for a smoking cessation just-in-time adaptive intervention (JITAI),"Leppin C, Brown J, Garnett C, Kale D, Okpako T, Simons D, Perski O",PLOS One,2026,https://doi.org/10.1371/journal.pone.0349028,10.1101/2025.08.07.25333190,https://doi.org/10.1101/2025.08.07.25333190,2025,medRxiv,http://creativecommons.org/licenses/by/4.0/,,,journal-article,Web of Science,227258402
10_12688_wellcomeopenres_25937_2,10.12688/wellcomeopenres.25937.2,article,page,lassa/SCAPES.qmd,,"Scaling Lassa Virus Dynamics within Anthropogenic Ecosystems (SCAPES) Study Protocol: a mixed-methods observational cohort study of humans, rodents, and landscapes in Nigeria.","Friant S, Simons D, Harden C, Imirzian N, Bjornstad O, Gibb R, Jones K, Smith A, Thompson K, Lever A, Aderibigbe F, Ayambem W, Ifebueme N, Ignatius H, Koninga J, Meremikwu M, Moses L, Redding D",Wellcome Open Research,2026,https://doi.org/10.12688/wellcomeopenres.25937.2,10.1101/2025.09.12.25335176,https://doi.org/10.1101/2025.09.12.25335176,2025,medRxiv,https://creativecommons.org/licenses/by/4.0/,https://wellcomeopenresearch.org/articles/11-125/v2/pdf,,data-set,DataCite,198036652
10_1017_s0950268826101824,10.1017/s0950268826101824,article,page,lassa/lassa_urbanisation.qmd,,The socio-economic shield limits Lassa virus spillover in urban West Africa,Simons D,Epidemiology and Infection,2026,https://doi.org/10.1017/s0950268826101824,10.64898/2025.12.17.25342147,https://doi.org/10.64898/2025.12.17.25342147,2025,medRxiv,http://creativecommons.org/licenses/by/4.0,,,preprint,Crossref,200086043
10_64898_2026_06_03_729761,10.64898/2026.06.03.729761,preprint,page,arha.qmd,,Viral reservoir status in small mammals emerges as a predictable life-history trait after correcting for surveillance bias,"Simons D, Rivero R, Rickard G, Martinez-Checa A, Gordon H, Redding DW, Seifert SN",bioRxiv,2026,https://doi.org/10.64898/2026.06.03.729761,,,,,http://creativecommons.org/licenses/by/4.0/,,,preprint,Crossref,216754064
10_1002_ecog_08455,10.1002/ecog.08455,article,page,open_science/tools.qmd,,‘SiteTool': a ‘Shiny' application for field site selection and evaluation,"Imirzian N, Trebski A, Johnson E, Hewitson M, Simons D, Harden C, Friant S, Redding D",Ecography,2026,https://doi.org/10.1002/ecog.08455,10.32942/x2g65x,https://doi.org/10.32942/x2g65x,2025,,http://creativecommons.org/licenses/by/3.0/,https://nsojournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecog.08455,,journal-article,Crossref,216587261
10_1038_s41597_025_05332_x,10.1038/s41597-025-05332-x,article,page,open_science/tools.qmd,,A minimum data standard for wildlife disease research and surveillance,"Schwantes CJ, Sánchez CA, Stevens T, Zimmerman R, Albery G, Becker DJ, Brookson CB, Kading RC, Keiser CN, Khandelwal S, Kramer-Schadt S, Krut-Landau R, McKee C, Montecino-Latorre D, O’Donoghue Z, Olson SH, O’Shea M, Poisot T, Robertson H, Ryan SJ, Seifert SN, Simons D, Vicente-Santos A, Wood CL, Graeden E, Carlson CJ",Scientific Data,2025,https://doi.org/10.1038/s41597-025-05332-x,10.32942/x2tw4j,https://doi.org/10.32942/x2tw4j,2024,,https://creativecommons.org/licenses/by/4.0,https://www.nature.com/articles/s41597-025-05332-x.pdf,,journal-article,Europe PubMed Central,227258635
